"Enrichment FDR","nGenes","Pathway Genes","Fold Enrichment","Pathway","URL","Genes"
0.015539503129905,2,3,100.355263157895,"GO:0043578 nuclear matrix organization "," http://amigo.geneontology.org/amigo/term/GO:0043578"," SYNE1  SUN1"
0.015539503129905,4,36,16.7258771929825,"GO:0033144 negative reg. of intracellular steroid hormone receptor signaling pat"," http://amigo.geneontology.org/amigo/term/GO:0033144"," CNOT1  BRCA1  SMARCA4  ZBTB7A"
0.0104219339396138,7,132,7.98280502392344,"GO:0045739 positive reg. of DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0045739"," SMARCA4  SMARCC2  ARID2  EPC2  YY1  BRCA1  SMCHD1"
0.015539503129905,8,219,5.49891852919971,"GO:0006282 reg. of DNA repair "," http://amigo.geneontology.org/amigo/term/GO:0006282"," BRCA1  SMARCA4  TAF5L  EPC2  SMARCC2  ARID2  YY1  SMCHD1"
0.00738764322366189,13,470,4.1636758118701,"GO:0006816 calcium ion transport "," http://amigo.geneontology.org/amigo/term/GO:0006816"," CACNA1B  MICU3  CACNA1D  STIM1  SLC8A1  CACNA1E  WFS1  LETM1  DNM1L  SPG11  PTK2B  ATP2B2  SESTD1"
0.00222997418564288,18,701,3.86532397327127,"GO:0006325 chromatin organization "," http://amigo.geneontology.org/amigo/term/GO:0006325"," SMARCA4  SMARCC2  BRCA1  SPTY2D1  ARID2  YY1  SMCHD1  EZH2  TP53  WAC  BRD1  ASH1L  TTF2  EPC2  ZNF462  ATAD2  PPM1D  ZBTB7A"
0.015539503129905,12,476,3.79494692613888,"GO:0044772 mitotic cell cycle phase transition "," http://amigo.geneontology.org/amigo/term/GO:0044772"," BRCA1  SMARCA4  SMARCC2  ARID2  EZH2  TMOD3  TP53  PPM1D  PBX1  USH1C  WAC  RPTOR"
0.00628615298018612,20,975,3.08785425101215,"GO:0022603 reg. of anatomical structure morphogenesis "," http://amigo.geneontology.org/amigo/term/GO:0022603"," PHIP  DVL3  SEMA4D  DSCAM  SYT3  PTK2B  TENM4  TRIM46  ERAP1  MBP  BMPR2  BRCA1  FOXJ2  DNM1L  AGO1  DOCK5  STIM1  SYNE3  FGD6  CELSR3"
0.0131524449210809,18,949,2.8552076978537,"GO:0030001 metal ion transport "," http://amigo.geneontology.org/amigo/term/GO:0030001"," CACNA1B  MICU3  CACNA1D  WNK2  STIM1  KCNG3  SLC8A1  CACNA1E  WFS1  PTK2B  LETM1  SLC23A1  DNM1L  SPG11  SLC38A6  ATP2B2  ARHGAP1  SESTD1"
0.00738764322366189,23,1274,2.71762682805916,"GO:0006812 cation transport "," http://amigo.geneontology.org/amigo/term/GO:0006812"," SYT6  SLC25A38  CACNA1B  MICU3  CACNA1D  WNK2  STIM1  KCNG3  SLC8A1  CACNA1E  SYT3  WFS1  PTK2B  LETM1  SLC23A1  DNM1L  SPG11  SLC17A5  SLC38A6  ATP2B2  COX15  ARHGAP1  SESTD1"
0.0107273901229198,21,1173,2.69496230986674,"GO:0051276 chromosome organization "," http://amigo.geneontology.org/amigo/term/GO:0051276"," SMARCA4  SMARCC2  BRCA1  SPTY2D1  ARID2  YY1  SMCHD1  EZH2  STN1  TP53  WAC  BRD1  ASH1L  TTF2  EPC2  ZNF462  ATAD2  SUN1  PPM1D  ZBTB7A  TTN"
